1, Bachelors, Never-married, Not-in-family
111, Bachelors, Never-married, Other-relative
112, Prof-school, Married-civ-spouse, Husband
113, HS-grad, Married-civ-spouse, Husband
114, Some-college, Married-civ-spouse, Wife
115, HS-grad, Never-married, Own-child
116, 9th, Married-civ-spouse, Husband
117, Some-college, Married-civ-spouse, Husband
118, Assoc-voc, Married-civ-spouse, Husband
119, Some-college, Married-civ-spouse, Husband
120, HS-grad, Never-married, Not-in-family
121, Some-college, Never-married, Own-child
122, Bachelors, Married-civ-spouse, Husband
123, Bachelors, Never-married, Own-child
124, Bachelors, Married-civ-spouse, Husband
125, Some-college, Never-married, Own-child
126, Bachelors, Married-civ-spouse, Wife
127, Some-college, Never-married, Own-child
128, Assoc-acdm, Married-civ-spouse, Husband
129, HS-grad, Married-civ-spouse, Husband
130, Some-college, Divorced, Not-in-family
131, Assoc-acdm, Never-married, Not-in-family
132, HS-grad, Never-married, Not-in-family
133, HS-grad, Married-civ-spouse, Husband
134, Bachelors, Married-civ-spouse, Husband
135, Assoc-acdm, Divorced, Not-in-family
136, Masters, Married-civ-spouse, Husband
137, HS-grad, Married-civ-spouse, Husband
138, Assoc-voc, Married-civ-spouse, Wife
139, Some-college, Never-married, Own-child
140, Some-college, Married-civ-spouse, Husband
141, HS-grad, Married-civ-spouse, Husband
142, Some-college, Never-married, Own-child
143, Some-college, Never-married, Own-child
144, Assoc-voc, Never-married, Not-in-family
145, Some-college, Never-married, Other-relative
146, HS-grad, Never-married, Unmarried
147, Some-college, Married-civ-spouse, Husband
148, HS-grad, Widowed, Unmarried
149, 11th, Married-civ-spouse, Husband
150, Some-college, Divorced, Not-in-family
151, Some-college, Divorced, Unmarried
152, HS-grad, Never-married, Not-in-family
153, Bachelors, Never-married, Other-relative
154, HS-grad, Never-married, Own-child
155, HS-grad, Divorced, Not-in-family
156, HS-grad, Married-civ-spouse, Husband
157, Bachelors, Never-married, Not-in-family
158, Some-college, Separated, Unmarried
159, HS-grad, Divorced, Not-in-family
160, Bachelors, Separated, Other-relative
161, 1st-4th, Divorced, Not-in-family
162, HS-grad, Never-married, Unmarried
163, Masters, Divorced, Unmarried
164, HS-grad, Never-married, Not-in-family
165, Masters, Married-civ-spouse, Husband
166, Some-college, Divorced, Unmarried
167, Assoc-acdm, Never-married, Not-in-family
168, Masters, Widowed, Unmarried
169, 11th, Never-married, Own-child
170, Assoc-voc, Widowed, Not-in-family
171, HS-grad, Never-married, Not-in-family
172, HS-grad, Married-civ-spouse, Husband
173, Some-college, Married-civ-spouse, Husband
174, Bachelors, Never-married, Not-in-family
175, Bachelors, Married-civ-spouse, Husband
176, HS-grad, Married-spouse-absent, Unmarried
177, HS-grad, Never-married, Own-child
178, HS-grad, Never-married, Not-in-family
179, HS-grad, Never-married, Own-child
180, Bachelors, Married-civ-spouse, Husband
181, Some-college, Married-civ-spouse, Husband
182, Some-college, Divorced, Not-in-family
183, Some-college, Never-married, Not-in-family
184, 7th-8th, Married-civ-spouse, Husband
185, Some-college, Married-civ-spouse, Husband
186, HS-grad, Married-civ-spouse, Husband
187, Bachelors, Divorced, Not-in-family
188, Bachelors, Divorced, Not-in-family
189, Masters, Married-civ-spouse, Wife
190, Doctorate, Married-civ-spouse, Husband
191, Some-college, Divorced, Not-in-family
192, Some-college, Married-civ-spouse, Husband
193, Bachelors, Married-civ-spouse, Husband
194, Some-college, Married-civ-spouse, Husband
195, Bachelors, Married-civ-spouse, Husband
196, 5th-6th, Married-civ-spouse, Other-relative
197, Some-college, Divorced, Not-in-family
198, Masters, Never-married, Not-in-family
199, Masters, Married-civ-spouse, Other-relative
200, HS-grad, Never-married, Not-in-family
201, Masters, Never-married, Not-in-family
202, HS-grad, Never-married, Own-child
203, Bachelors, Married-civ-spouse, Husband
204, Some-college, Never-married, Not-in-family
205, HS-grad, Divorced, Unmarried
206, 11th, Never-married, Own-child
207, Bachelors, Married-civ-spouse, Husband
208, HS-grad, Divorced, Not-in-family
209, HS-grad, Married-civ-spouse, Wife
210, 11th, Never-married, Own-child
211, HS-grad, Married-civ-spouse, Husband
212, HS-grad, Married-civ-spouse, Husband
213, Some-college, Never-married, Not-in-family
214, HS-grad, Married-civ-spouse, Husband
215, 7th-8th, Married-civ-spouse, Husband
216, Bachelors, Never-married, Not-in-family
217, Assoc-acdm, Divorced, Not-in-family
218, Bachelors, Married-civ-spouse, Husband
219, Bachelors, Married-civ-spouse, Husband
220, 10th, Never-married, Not-in-family
221, Some-college, Married-civ-spouse, Husband
222, 1st-4th, Divorced, Not-in-family
223, HS-grad, Never-married, Not-in-family
224, HS-grad, Married-civ-spouse, Husband
225, Preschool, Never-married, Not-in-family
226, HS-grad, Never-married, Own-child
227, 10th, Divorced, Not-in-family
228, HS-grad, Married-civ-spouse, Husband
229, Assoc-voc, Widowed, Not-in-family
230, HS-grad, Divorced, Not-in-family
231, 11th, Separated, Not-in-family
232, HS-grad, Divorced, Unmarried
233, Some-college, Never-married, Not-in-family
234, Some-college, Divorced, Other-relative
235, Prof-school, Never-married, Not-in-family
236, HS-grad, Married-civ-spouse, Husband
237, Some-college, Never-married, Not-in-family
238, Bachelors, Married-civ-spouse, Husband
239, Masters, Married-civ-spouse, Husband
240, HS-grad, Never-married, Own-child
241, Bachelors, Married-civ-spouse, Husband
242, HS-grad, Married-civ-spouse, Wife
243, Assoc-acdm, Married-civ-spouse, Husband
244, Some-college, Never-married, Own-child
245, Some-college, Divorced, Not-in-family
246, HS-grad, Married-civ-spouse, Husband
247, HS-grad, Married-civ-spouse, Husband
248, HS-grad, Never-married, Not-in-family
249, Assoc-acdm, Married-civ-spouse, Husband
250, HS-grad, Married-civ-spouse, Husband
251, Prof-school, Married-civ-spouse, Wife
252, Bachelors, Married-civ-spouse, Wife
253, 10th, Widowed, Unmarried
254, Some-college, Never-married, Own-child
255, Some-college, Never-married, Not-in-family
256, HS-grad, Married-civ-spouse, Husband
257, HS-grad, Never-married, Own-child
258, HS-grad, Separated, Not-in-family
259, Assoc-voc, Widowed, Not-in-family
260, 7th-8th, Divorced, Not-in-family
261, Bachelors, Divorced, Own-child
262, HS-grad, Married-civ-spouse, Husband
263, 11th, Never-married, Own-child
264, Some-college, Married-civ-spouse, Husband
265, 11th, Married-civ-spouse, Husband
266, Some-college, Married-civ-spouse, Husband
267, Some-college, Never-married, Own-child
268, HS-grad, Married-civ-spouse, Husband
269, Bachelors, Never-married, Not-in-family
270, HS-grad, Married-civ-spouse, Wife
271, HS-grad, Married-civ-spouse, Husband
272, 9th, Never-married, Own-child
273, Masters, Married-civ-spouse, Husband
274, Masters, Never-married, Own-child
275, HS-grad, Divorced, Own-child
276, HS-grad, Married-civ-spouse, Husband
277, Some-college, Married-civ-spouse, Husband
278, Some-college, Never-married, Not-in-family
279, Some-college, Never-married, Own-child
280, Some-college, Married-civ-spouse, Wife
281, Bachelors, Never-married, Not-in-family
282, Some-college, Married-civ-spouse, Husband
283, Assoc-acdm, Divorced, Unmarried
284, Bachelors, Divorced, Not-in-family
285, HS-grad, Never-married, Own-child
286, Masters, Married-civ-spouse, Husband
287, Prof-school, Married-civ-spouse, Husband
288, Some-college, Divorced, Not-in-family
289, Bachelors, Never-married, Not-in-family
290, 7th-8th, Married-civ-spouse, Husband
291, Bachelors, Married-civ-spouse, Husband
292, HS-grad, Divorced, Not-in-family
293, Bachelors, Never-married, Not-in-family
294, Some-college, Never-married, Own-child
295, Bachelors, Never-married, Unmarried
296, HS-grad, Married-civ-spouse, Husband
297, Bachelors, Divorced, Not-in-family
298, Masters, Married-civ-spouse, Wife
299, HS-grad, Never-married, Own-child
300, HS-grad, Divorced, Not-in-family
301, Bachelors, Married-civ-spouse, Husband
302, Some-college, Never-married, Not-in-family
303, HS-grad, Married-civ-spouse, Husband
304, HS-grad, Married-civ-spouse, Husband
305, Some-college, Married-civ-spouse, Wife
306, HS-grad, Divorced, Not-in-family
307, Assoc-acdm, Never-married, Not-in-family
308, Assoc-acdm, Never-married, Not-in-family
309, Assoc-acdm, Married-civ-spouse, Husband
310, Some-college, Married-civ-spouse, Husband
311, Bachelors, Never-married, Not-in-family
312, Masters, Married-civ-spouse, Husband
313, Some-college, Never-married, Own-child
314, Bachelors, Divorced, Not-in-family
315, Some-college, Never-married, Own-child
316, Some-college, Never-married, Not-in-family
317, Some-college, Married-civ-spouse, Husband
318, 5th-6th, Married-civ-spouse, Other-relative
319, Some-college, Never-married, Not-in-family
320, HS-grad, Widowed, Not-in-family
321, HS-grad, Married-civ-spouse, Husband
322, Some-college, Married-civ-spouse, Husband
323, HS-grad, Divorced, Not-in-family
324, 11th, Never-married, Not-in-family
325, Masters, Married-civ-spouse, Husband
326, HS-grad, Married-civ-spouse, Husband
327, Assoc-voc, Never-married, Own-child
328, Some-college, Married-civ-spouse, Wife
329, HS-grad, Married-civ-spouse, Husband
330, HS-grad, Never-married, Not-in-family
331, Some-college, Never-married, Not-in-family
332, Bachelors, Never-married, Not-in-family
333, Assoc-voc, Never-married, Not-in-family
334, 10th, Married-civ-spouse, Husband
335, HS-grad, Married-civ-spouse, Husband
336, 5th-6th, Never-married, Other-relative
337, HS-grad, Never-married, Other-relative
338, Masters, Never-married, Not-in-family
339, HS-grad, Never-married, Unmarried
340, HS-grad, Married-civ-spouse, Husband
341, Assoc-acdm, Never-married, Not-in-family
342, Assoc-voc, Married-civ-spouse, Husband
343, HS-grad, Married-civ-spouse, Husband
344, HS-grad, Never-married, Not-in-family
345, Some-college, Never-married, Own-child
346, Bachelors, Never-married, Not-in-family
347, 11th, Married-civ-spouse, Husband
348, Assoc-voc, Divorced, Unmarried
349, Assoc-acdm, Married-spouse-absent, Not-in-family
350, Bachelors, Never-married, Own-child
351, Bachelors, Married-civ-spouse, Husband
352, HS-grad, Married-civ-spouse, Husband
353, Bachelors, Married-civ-spouse, Husband
354, 11th, Married-civ-spouse, Husband
355, Bachelors, Married-civ-spouse, Husband
356, HS-grad, Married-civ-spouse, Husband
357, 11th, Widowed, Unmarried
358, Assoc-voc, Married-civ-spouse, Husband
359, HS-grad, Married-civ-spouse, Wife
360, 9th, Married-civ-spouse, Husband
361, 10th, Married-civ-spouse, Wife
362, Masters, Married-civ-spouse, Husband
363, Bachelors, Married-civ-spouse, Husband
364, Bachelors, Divorced, Not-in-family
365, HS-grad, Married-spouse-absent, Not-in-family
366, HS-grad, Married-civ-spouse, Husband
367, Some-college, Married-civ-spouse, Husband
368, Assoc-acdm, Never-married, Not-in-family
369, Bachelors, Divorced, Not-in-family
370, HS-grad, Divorced, Unmarried
371, Some-college, Never-married, Unmarried
372, 11th, Never-married, Own-child
373, Assoc-voc, Married-civ-spouse, Husband
374, HS-grad, Married-civ-spouse, Husband
375, HS-grad, Never-married, Not-in-family
376, Some-college, Never-married, Own-child
377, HS-grad, Married-civ-spouse, Wife
378, Some-college, Never-married, Not-in-family
379, Masters, Divorced, Not-in-family
380, HS-grad, Married-civ-spouse, Husband
381, HS-grad, Divorced, Not-in-family
382, 5th-6th, Divorced, Not-in-family
383, Some-college, Married-civ-spouse, Husband
384, Some-college, Divorced, Not-in-family
385, Some-college, Married-civ-spouse, Wife
386, HS-grad, Never-married, Not-in-family
387, HS-grad, Separated, Not-in-family
388, Some-college, Married-civ-spouse, Wife
389, Some-college, Never-married, Own-child
390, HS-grad, Never-married, Other-relative
391, HS-grad, Married-civ-spouse, Wife
392, Bachelors, Never-married, Not-in-family
393, Assoc-acdm, Separated, Not-in-family
394, Bachelors, Married-civ-spouse, Husband
395, HS-grad, Never-married, Not-in-family
396, Some-college, Married-civ-spouse, Husband
397, Some-college, Divorced, Unmarried
398, HS-grad, Never-married, Other-relative
399, Bachelors, Married-civ-spouse, Husband
400, Bachelors, Married-civ-spouse, Husband
401, Some-college, Never-married, Own-child
402, Some-college, Never-married, Not-in-family
403, Bachelors, Married-civ-spouse, Husband
404, Assoc-voc, Divorced, Not-in-family
405, 7th-8th, Married-civ-spouse, Husband
406, Masters, Married-civ-spouse, Husband
407, HS-grad, Married-civ-spouse, Husband
408, HS-grad, Married-civ-spouse, Husband
409, Some-college, Married-civ-spouse, Wife
410, Some-college, Married-civ-spouse, Husband
411, Some-college, Divorced, Not-in-family
412, HS-grad, Never-married, Unmarried
413, Some-college, Divorced, Unmarried
414, Doctorate, Married-civ-spouse, Husband
415, Some-college, Married-civ-spouse, Husband
416, 12th, Divorced, Not-in-family
417, 1st-4th, Married-civ-spouse, Husband
418, 11th, Never-married, Own-child
419, 11th, Separated, Not-in-family
420, HS-grad, Divorced, Unmarried
421, Some-college, Married-civ-spouse, Husband
422, 11th, Never-married, Own-child
423, Bachelors, Married-civ-spouse, Wife
424, HS-grad, Divorced, Not-in-family
425, 10th, Never-married, Unmarried
426, HS-grad, Married-civ-spouse, Husband
427, Masters, Never-married, Not-in-family
428, HS-grad, Never-married, Not-in-family
429, HS-grad, Married-civ-spouse, Husband
430, Masters, Married-civ-spouse, Husband
431, HS-grad, Widowed, Not-in-family
432, 11th, Never-married, Own-child
433, Bachelors, Married-spouse-absent, Not-in-family
434, Assoc-acdm, Married-civ-spouse, Wife
435, Some-college, Never-married, Own-child
436, Masters, Married-civ-spouse, Husband
437, HS-grad, Never-married, Not-in-family
438, Some-college, Never-married, Not-in-family
439, Some-college, Married-civ-spouse, Husband
440, Some-college, Married-civ-spouse, Wife
441, Bachelors, Never-married, Not-in-family
442, HS-grad, Divorced, Not-in-family
443, HS-grad, Never-married, Own-child
444, Some-college, Married-civ-spouse, Husband
445, 9th, Never-married, Other-relative
446, Some-college, Never-married, Not-in-family
447, HS-grad, Widowed, Unmarried
448, HS-grad, Married-civ-spouse, Husband
449, HS-grad, Married-civ-spouse, Husband
450, 11th, Never-married, Own-child
451, HS-grad, Never-married, Own-child
452, Some-college, Married-civ-spouse, Husband
453, HS-grad, Married-civ-spouse, Husband
454, Assoc-acdm, Married-civ-spouse, Husband
455, HS-grad, Married-civ-spouse, Wife
456, Assoc-voc, Married-civ-spouse, Husband
457, HS-grad, Married-civ-spouse, Wife
458, Some-college, Married-civ-spouse, Husband
459, HS-grad, Married-civ-spouse, Husband
460, Some-college, Married-civ-spouse, Husband
461, Assoc-acdm, Never-married, Own-child
462, HS-grad, Married-civ-spouse, Husband
463, Bachelors, Married-civ-spouse, Husband
464, 1st-4th, Married-spouse-absent, Unmarried
465, Bachelors, Never-married, Not-in-family
466, HS-grad, Married-civ-spouse, Wife
467, HS-grad, Divorced, Unmarried
468, Some-college, Married-civ-spouse, Husband
469, Masters, Married-civ-spouse, Husband
470, Bachelors, Married-civ-spouse, Wife
471, Some-college, Never-married, Unmarried
472, Some-college, Never-married, Own-child
473, HS-grad, Never-married, Not-in-family
474, HS-grad, Never-married, Not-in-family
475, Assoc-voc, Divorced, Not-in-family
476, Bachelors, Never-married, Not-in-family
477, 9th, Never-married, Not-in-family
478, Some-college, Never-married, Own-child
479, 10th, Never-married, Not-in-family
480, HS-grad, Never-married, Unmarried
481, Assoc-acdm, Married-civ-spouse, Husband
482, Some-college, Married-civ-spouse, Husband
483, Bachelors, Never-married, Not-in-family
484, HS-grad, Married-spouse-absent, Unmarried
485, 12th, Never-married, Other-relative
486, Some-college, Married-spouse-absent, Own-child
487, 1st-4th, Married-civ-spouse, Husband
488, HS-grad, Married-civ-spouse, Husband
489, Bachelors, Divorced, Unmarried
490, Bachelors, Married-civ-spouse, Husband
491, HS-grad, Never-married, Not-in-family
492, HS-grad, Divorced, Not-in-family
493, Assoc-acdm, Never-married, Not-in-family
494, HS-grad, Divorced, Unmarried
495, Bachelors, Never-married, Own-child
496, HS-grad, Divorced, Unmarried
497, Some-college, Never-married, Own-child
498, 5th-6th, Never-married, Own-child
499, Some-college, Never-married, Not-in-family
500, HS-grad, Married-civ-spouse, Husband
501, HS-grad, Never-married, Not-in-family
502, HS-grad, Married-civ-spouse, Husband
503, Some-college, Married-civ-spouse, Husband
504, Some-college, Divorced, Unmarried
505, Bachelors, Never-married, Not-in-family
506, Bachelors, Never-married, Not-in-family
507, Some-college, Never-married, Own-child
508, Some-college, Married-civ-spouse, Husband
509, HS-grad, Separated, Unmarried
510, HS-grad, Divorced, Unmarried
511, Assoc-voc, Married-spouse-absent, Unmarried
512, 5th-6th, Widowed, Unmarried
513, Assoc-voc, Never-married, Not-in-family
514, Some-college, Married-civ-spouse, Husband
515, HS-grad, Divorced, Not-in-family
516, Assoc-voc, Widowed, Unmarried
517, Some-college, Never-married, Not-in-family
518, Some-college, Never-married, Own-child
519, Some-college, Never-married, Unmarried
520, Bachelors, Married-civ-spouse, Husband
521, Bachelors, Married-civ-spouse, Husband
522, HS-grad, Married-civ-spouse, Husband
523, Some-college, Divorced, Not-in-family
524, Some-college, Married-civ-spouse, Husband
525, Some-college, Divorced, Unmarried
526, Some-college, Married-civ-spouse, Wife
527, Bachelors, Married-civ-spouse, Husband
528, Some-college, Divorced, Not-in-family
529, HS-grad, Married-civ-spouse, Husband
530, Masters, Married-civ-spouse, Husband
531, 11th, Divorced, Unmarried
532, HS-grad, Never-married, Not-in-family
533, HS-grad, Married-civ-spouse, Husband
534, Assoc-acdm, Married-civ-spouse, Wife
535, Prof-school, Married-civ-spouse, Husband
536, 12th, Married-civ-spouse, Husband
537, 1st-4th, Widowed, Not-in-family
538, Assoc-voc, Separated, Not-in-family
539, Bachelors, Never-married, Not-in-family
540, HS-grad, Never-married, Unmarried
541, Some-college, Married-civ-spouse, Husband
542, Doctorate, Never-married, Own-child
543, Some-college, Never-married, Unmarried
544, HS-grad, Never-married, Not-in-family
545, Some-college, Married-civ-spouse, Husband
546, HS-grad, Never-married, Not-in-family
547, 10th, Married-civ-spouse, Wife
548, Some-college, Married-civ-spouse, Husband
549, HS-grad, Never-married, Own-child
550, Some-college, Never-married, Unmarried
551, Some-college, Divorced, Not-in-family
552, HS-grad, Separated, Unmarried
553, 11th, Widowed, Unmarried
554, HS-grad, Married-civ-spouse, Wife
555, Assoc-voc, Divorced, Unmarried
556, 11th, Never-married, Not-in-family
557, HS-grad, Married-civ-spouse, Husband
558, HS-grad, Separated, Unmarried
559, HS-grad, Married-civ-spouse, Wife
560, 11th, Married-civ-spouse, Husband
561, Bachelors, Never-married, Not-in-family
562, Bachelors, Married-civ-spouse, Husband
563, Some-college, Married-civ-spouse, Husband
564, HS-grad, Never-married, Unmarried
565, Bachelors, Married-civ-spouse, Husband
566, HS-grad, Never-married, Own-child
567, Masters, Married-civ-spouse, Husband
568, 7th-8th, Separated, Unmarried
569, HS-grad, Separated, Not-in-family
570, Masters, Divorced, Unmarried
571, HS-grad, Never-married, Own-child
572, HS-grad, Married-civ-spouse, Husband
573, 11th, Never-married, Own-child
574, Assoc-voc, Married-civ-spouse, Husband
575, Doctorate, Never-married, Not-in-family
576, Bachelors, Married-civ-spouse, Wife
577, 12th, Never-married, Own-child
578, Assoc-acdm, Divorced, Unmarried
579, Bachelors, Never-married, Not-in-family
580, Some-college, Married-civ-spouse, Husband
581, Some-college, Married-civ-spouse, Husband
582, HS-grad, Married-civ-spouse, Husband
583, HS-grad, Married-civ-spouse, Husband
584, HS-grad, Married-civ-spouse, Husband
585, Bachelors, Never-married, Not-in-family
586, Some-college, Never-married, Own-child
587, Some-college, Never-married, Not-in-family
588, 11th, Never-married, Own-child
589, 10th, Married-civ-spouse, Husband
590, Bachelors, Divorced, Not-in-family
591, HS-grad, Married-civ-spouse, Husband
592, HS-grad, Married-civ-spouse, Wife
593, 7th-8th, Never-married, Not-in-family
594, Bachelors, Married-civ-spouse, Husband
595, Bachelors, Never-married, Own-child
596, HS-grad, Never-married, Own-child
597, Some-college, Never-married, Unmarried
598, Prof-school, Married-civ-spouse, Husband
599, Some-college, Never-married, Not-in-family
600, Bachelors, Never-married, Not-in-family
601, Bachelors, Never-married, Not-in-family
602, Some-college, Never-married, Own-child
603, 7th-8th, Divorced, Not-in-family
604, 9th, Married-civ-spouse, Husband
605, Assoc-acdm, Never-married, Not-in-family
606, HS-grad, Never-married, Unmarried
607, Masters, Married-civ-spouse, Husband
608, HS-grad, Never-married, Not-in-family
609, HS-grad, Separated, Not-in-family
610, 10th, Never-married, Own-child
611, Masters, Divorced, Not-in-family
612, HS-grad, Never-married, Not-in-family
613, HS-grad, Married-civ-spouse, Husband
614, Bachelors, Never-married, Own-child
615, Bachelors, Never-married, Own-child
616, HS-grad, Never-married, Own-child
617, HS-grad, Married-civ-spouse, Husband
618, HS-grad, Married-civ-spouse, Husband
619, Bachelors, Married-civ-spouse, Husband
620, Prof-school, Married-civ-spouse, Husband
621, Bachelors, Never-married, Own-child
622, 11th, Widowed, Not-in-family
623, 9th, Widowed, Unmarried
624, Assoc-voc, Married-civ-spouse, Husband
625, 9th, Married-spouse-absent, Unmarried
626, HS-grad, Never-married, Own-child
627, HS-grad, Married-civ-spouse, Husband
628, HS-grad, Married-civ-spouse, Husband
629, Some-college, Married-civ-spouse, Husband
630, Bachelors, Married-civ-spouse, Husband
631, Some-college, Never-married, Unmarried
632, 10th, Separated, Unmarried
633, Some-college, Married-civ-spouse, Husband
634, Bachelors, Married-civ-spouse, Wife
635, HS-grad, Married-civ-spouse, Husband
636, HS-grad, Never-married, Own-child
637, Bachelors, Never-married, Not-in-family
638, Bachelors, Married-civ-spouse, Husband
639, 5th-6th, Married-civ-spouse, Husband
640, Doctorate, Married-civ-spouse, Husband
641, HS-grad, Divorced, Not-in-family
642, HS-grad, Married-civ-spouse, Husband
643, Some-college, Never-married, Own-child
644, Some-college, Married-civ-spouse, Husband
645, Some-college, Married-civ-spouse, Husband
646, Doctorate, Separated, Not-in-family
647, HS-grad, Divorced, Unmarried
648, HS-grad, Married-civ-spouse, Husband
649, HS-grad, Married-civ-spouse, Husband
650, Bachelors, Married-civ-spouse, Husband
651, Some-college, Never-married, Own-child
652, HS-grad, Never-married, Other-relative
653, Doctorate, Married-civ-spouse, Husband
654, Some-college, Separated, Not-in-family
655, HS-grad, Never-married, Own-child
656, Some-college, Never-married, Unmarried
657, 9th, Widowed, Unmarried
658, HS-grad, Married-civ-spouse, Husband
659, 7th-8th, Married-civ-spouse, Husband
660, HS-grad, Married-civ-spouse, Husband
661, 12th, Married-civ-spouse, Husband
662, Masters, Never-married, Not-in-family
663, Some-college, Never-married, Not-in-family
664, Masters, Never-married, Not-in-family
665, Some-college, Never-married, Not-in-family
666, Assoc-acdm, Divorced, Unmarried
667, Some-college, Married-civ-spouse, Husband
668, HS-grad, Married-civ-spouse, Husband
669, 11th, Married-spouse-absent, Own-child
670, 9th, Never-married, Not-in-family
671, Some-college, Divorced, Not-in-family
672, 11th, Never-married, Own-child
673, 11th, Never-married, Own-child
674, Bachelors, Married-civ-spouse, Husband
675, HS-grad, Married-civ-spouse, Husband
676, HS-grad, Never-married, Own-child
677, 12th, Never-married, Own-child
678, Some-college, Married-civ-spouse, Husband
679, HS-grad, Never-married, Not-in-family
680, HS-grad, Widowed, Not-in-family
681, HS-grad, Never-married, Own-child
682, Assoc-voc, Married-civ-spouse, Husband
683, HS-grad, Married-civ-spouse, Husband
684, Some-college, Separated, Unmarried
685, 11th, Never-married, Own-child
686, HS-grad, Divorced, Not-in-family
687, 7th-8th, Never-married, Not-in-family
688, Bachelors, Married-civ-spouse, Wife
689, Masters, Never-married, Not-in-family
