@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1'

@attribute Age {17_28,28_37,37_48,48_90}
@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Maritial-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute Race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute Gender {' Male',' Female'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute Income-bracket {' <=50K',' >50K'}

@data
17_28,' Private',' 5th-6th',' Married-civ-spouse',' Transport-moving',' Other-relative',' White',' Male',40_41,' Mexico',' <=50K'
37_48,' Local-gov',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male',40_41,' United-States',' <=50K'
48_90,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' Black',' Male',1_40,' United-States',' <=50K'
28_37,' Private',' Some-college',' Divorced',' Craft-repair',' Other-relative',' Other',' Female',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40_41,' ?',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',51_99,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' Black',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Other-service',' Not-in-family',' Asian-Pac-Islander',' Female',1_40,' United-States',' <=50K'
17_28,' Private',' 5th-6th',' Married-civ-spouse',' Machine-op-inspct',' Other-relative',' White',' Female',40_41,' Mexico',' <=50K'
48_90,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Sales',' Unmarried',' Black',' Male',1_40,' Haiti',' <=50K'
17_28,' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' Assoc-acdm',' Never-married',' Sales',' Not-in-family',' White',' Female',1_40,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' Bachelors',' Never-married',' Craft-repair',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40_41,' United-States',' <=50K'
28_37,' State-gov',' HS-grad',' Divorced',' Transport-moving',' Unmarried',' White',' Female',40_41,' United-States',' <=50K'
17_28,' ?',' 11th',' Never-married',' ?',' Own-child',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' 9th',' Never-married',' Craft-repair',' Other-relative',' White',' Male',40_41,' Mexico',' <=50K'
28_37,' ?',' Some-college',' Married-civ-spouse',' ?',' Husband',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Craft-repair',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
28_37,' State-gov',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',1_40,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Divorced',' Prof-specialty',' Unmarried',' White',' Female',1_40,' United-States',' <=50K'
48_90,' Private',' Some-college',' Divorced',' Other-service',' Unmarried',' White',' Female',41_51,' France',' <=50K'
28_37,' Private',' HS-grad',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
37_48,' Private',' 11th',' Divorced',' Machine-op-inspct',' Unmarried',' Other',' Female',41_51,' Puerto-Rico',' <=50K'
28_37,' Private',' Some-college',' Never-married',' Handlers-cleaners',' Unmarried',' White',' Female',40_41,' United-States',' <=50K'
48_90,' Private',' 11th',' Widowed',' Adm-clerical',' Unmarried',' White',' Female',40_41,' United-States',' <=50K'
37_48,' Self-emp-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',41_51,' United-States',' <=50K'
48_90,' Local-gov',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
48_90,' ?',' HS-grad',' Married-civ-spouse',' ?',' Wife',' Asian-Pac-Islander',' Female',40_41,' United-States',' <=50K'
28_37,' Self-emp-not-inc',' Assoc-acdm',' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',51_99,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',51_99,' United-States',' <=50K'
28_37,' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',41_51,' United-States',' <=50K'
17_28,' ?',' 11th',' Never-married',' ?',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
17_28,' ?',' Assoc-acdm',' Never-married',' ?',' Other-relative',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' 11th',' Never-married',' Other-service',' Other-relative',' White',' Male',1_40,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Other-service',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
37_48,' ?',' Some-college',' Married-civ-spouse',' ?',' Wife',' Black',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' 11th',' Never-married',' Craft-repair',' Own-child',' Black',' Male',40_41,' Haiti',' <=50K'
28_37,' Local-gov',' HS-grad',' Divorced',' Protective-serv',' Unmarried',' White',' Male',40_41,' Portugal',' <=50K'
17_28,' Local-gov',' Assoc-voc',' Divorced',' Tech-support',' Not-in-family',' White',' Male',51_99,' United-States',' <=50K'
48_90,' ?',' HS-grad',' Married-civ-spouse',' ?',' Husband',' White',' Male',1_40,' United-States',' <=50K'
48_90,' Self-emp-not-inc',' 11th',' Never-married',' Farming-fishing',' Unmarried',' White',' Male',1_40,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Other-service',' Wife',' White',' Female',51_99,' Italy',' <=50K'
37_48,' Private',' Some-college',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' 11th',' Never-married',' Sales',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Transport-moving',' Own-child',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' 11th',' Never-married',' Sales',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
48_90,' ?',' Some-college',' Married-civ-spouse',' ?',' Husband',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' Bachelors',' Never-married',' Exec-managerial',' Own-child',' White',' Female',41_51,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' HS-grad',' Divorced',' Handlers-cleaners',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Sales',' Not-in-family',' White',' Male',1_40,' United-States',' <=50K'
17_28,' ?',' Some-college',' Never-married',' ?',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
37_48,' Private',' Some-college',' Divorced',' Adm-clerical',' Unmarried',' White',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' Bachelors',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',51_99,' Mexico',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Craft-repair',' Unmarried',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Other-service',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
17_28,' ?',' HS-grad',' Never-married',' ?',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
17_28,' State-gov',' Assoc-acdm',' Never-married',' Other-service',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Machine-op-inspct',' Own-child',' Black',' Female',40_41,' United-States',' <=50K'
28_37,' Self-emp-not-inc',' 12th',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',51_99,' United-States',' <=50K'
17_28,' Local-gov',' Bachelors',' Never-married',' Prof-specialty',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
28_37,' Private',' Assoc-voc',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' Some-college',' Divorced',' Prof-specialty',' Unmarried',' White',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Divorced',' Handlers-cleaners',' Own-child',' White',' Female',40_41,' United-States',' <=50K'
48_90,' Federal-gov',' HS-grad',' Widowed',' Handlers-cleaners',' Not-in-family',' Black',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Other-service',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
48_90,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',51_99,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Transport-moving',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Local-gov',' Bachelors',' Divorced',' Prof-specialty',' Not-in-family',' Black',' Female',40_41,' United-States',' <=50K'
37_48,' Private',' Some-college',' Separated',' Adm-clerical',' Own-child',' White',' Male',51_99,' United-States',' <=50K'
48_90,' Private',' HS-grad',' Divorced',' Adm-clerical',' Unmarried',' White',' Female',40_41,' England',' <=50K'
37_48,' Private',' Some-college',' Never-married',' Adm-clerical',' Own-child',' White',' Female',40_41,' United-States',' <=50K'
48_90,' Federal-gov',' HS-grad',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',41_51,' United-States',' <=50K'
48_90,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',1_40,' United-States',' <=50K'
48_90,' Private',' HS-grad',' Never-married',' Sales',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' Assoc-voc',' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Adm-clerical',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
37_48,' Private',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
48_90,' ?',' 7th-8th',' Married-civ-spouse',' ?',' Husband',' White',' Male',41_51,' United-States',' <=50K'
48_90,' Private',' Some-college',' Divorced',' Sales',' Unmarried',' White',' Female',40_41,' Italy',' <=50K'
37_48,' Local-gov',' Assoc-voc',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',1_40,' United-States',' <=50K'
37_48,' Private',' Some-college',' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',41_51,' United-States',' <=50K'
48_90,' Private',' 10th',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',41_51,' United-States',' <=50K'
37_48,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' Asian-Pac-Islander',' Male',51_99,' Thailand',' <=50K'
37_48,' Private',' 11th',' Divorced',' Machine-op-inspct',' Unmarried',' Amer-Indian-Eskimo',' Male',41_51,' Germany',' <=50K'
48_90,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',51_99,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Local-gov',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' 10th',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',40_41,' Mexico',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Other-service',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
48_90,' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',1_40,' United-States',' <=50K'
48_90,' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',51_99,' United-States',' <=50K'
48_90,' Private',' 7th-8th',' Divorced',' Machine-op-inspct',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
37_48,' Federal-gov',' HS-grad',' Separated',' Other-service',' Other-relative',' Black',' Female',40_41,' United-States',' <=50K'
48_90,' Private',' Assoc-voc',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Exec-managerial',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
28_37,' Private',' 11th',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' Bachelors',' Never-married',' Adm-clerical',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
37_48,' Private',' 11th',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',51_99,' Mexico',' <=50K'
48_90,' Private',' 10th',' Divorced',' Adm-clerical',' Not-in-family',' Black',' Female',40_41,' United-States',' <=50K'
37_48,' Private',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Craft-repair',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' 11th',' Never-married',' Adm-clerical',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Divorced',' Craft-repair',' Not-in-family',' White',' Female',41_51,' United-States',' <=50K'
37_48,' Private',' Bachelors',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Sales',' Not-in-family',' Black',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' Some-college',' Widowed',' Exec-managerial',' Not-in-family',' White',' Female',51_99,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' Asian-Pac-Islander',' Male',51_99,' Japan',' <=50K'
28_37,' Private',' HS-grad',' Married-spouse-absent',' Protective-serv',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Private',' 5th-6th',' Married-spouse-absent',' Handlers-cleaners',' Unmarried',' White',' Female',40_41,' Puerto-Rico',' <=50K'
37_48,' Private',' Some-college',' Widowed',' Adm-clerical',' Unmarried',' Black',' Female',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Own-child',' Black',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Transport-moving',' Unmarried',' White',' Female',51_99,' United-States',' <=50K'
37_48,' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' Asian-Pac-Islander',' Male',40_41,' Philippines',' <=50K'
17_28,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' Some-college',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',51_99,' United-States',' <=50K'
48_90,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Transport-moving',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' Some-college',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Craft-repair',' Own-child',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' Some-college',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',' Black',' Female',40_41,' United-States',' <=50K'
48_90,' State-gov',' HS-grad',' Divorced',' Craft-repair',' Unmarried',' White',' Male',1_40,' United-States',' <=50K'
28_37,' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' Doctorate',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',40_41,' England',' <=50K'
17_28,' Private',' 11th',' Married-civ-spouse',' Sales',' Own-child',' Black',' Male',1_40,' United-States',' <=50K'
17_28,' ?',' HS-grad',' Never-married',' ?',' Not-in-family',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' 12th',' Never-married',' Adm-clerical',' Own-child',' White',' Female',40_41,' Mexico',' <=50K'
48_90,' ?',' HS-grad',' Married-civ-spouse',' ?',' Husband',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Adm-clerical',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
17_28,' ?',' 12th',' Never-married',' ?',' Own-child',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Never-married',' Craft-repair',' Own-child',' White',' Male',40_41,' United-States',' <=50K'
28_37,' State-gov',' 11th',' Separated',' Adm-clerical',' Unmarried',' Asian-Pac-Islander',' Female',40_41,' India',' <=50K'
48_90,' Private',' HS-grad',' Widowed',' Tech-support',' Unmarried',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' Some-college',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
28_37,' Self-emp-not-inc',' Assoc-voc',' Divorced',' Sales',' Unmarried',' White',' Male',41_51,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Craft-repair',' Other-relative',' White',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' Bachelors',' Never-married',' Adm-clerical',' Own-child',' White',' Female',40_41,' United-States',' <=50K'
37_48,' ?',' Some-college',' Divorced',' ?',' Not-in-family',' White',' Female',1_40,' United-States',' <=50K'
17_28,' Private',' 7th-8th',' Never-married',' Craft-repair',' Own-child',' Black',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',51_99,' United-States',' <=50K'
37_48,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',41_51,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40_41,' Poland',' <=50K'
17_28,' Private',' 10th',' Never-married',' Sales',' Other-relative',' White',' Female',1_40,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',1_40,' United-States',' <=50K'
17_28,' Private',' Some-college',' Divorced',' Tech-support',' Not-in-family',' White',' Male',51_99,' United-States',' <=50K'
48_90,' Self-emp-inc',' HS-grad',' Never-married',' Sales',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Adm-clerical',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
17_28,' Federal-gov',' Some-college',' Never-married',' Exec-managerial',' Not-in-family',' Black',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Transport-moving',' Own-child',' Black',' Male',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Divorced',' Sales',' Not-in-family',' Black',' Female',40_41,' United-States',' <=50K'
17_28,' Private',' 7th-8th',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',41_51,' United-States',' <=50K'
28_37,' State-gov',' Some-college',' Never-married',' Adm-clerical',' Not-in-family',' Black',' Female',40_41,' United-States',' <=50K'
28_37,' Private',' Some-college',' Never-married',' Exec-managerial',' Own-child',' Asian-Pac-Islander',' Male',40_41,' Philippines',' <=50K'
17_28,' ?',' Some-college',' Never-married',' ?',' Own-child',' White',' Male',1_40,' United-States',' <=50K'
28_37,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' Bachelors',' Divorced',' Sales',' Not-in-family',' White',' Female',40_41,' United-States',' <=50K'
17_28,' Self-emp-not-inc',' Assoc-acdm',' Never-married',' Craft-repair',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' 10th',' Separated',' Craft-repair',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Private',' Some-college',' Divorced',' Sales',' Unmarried',' White',' Female',41_51,' United-States',' <=50K'
48_90,' Private',' 5th-6th',' Divorced',' Machine-op-inspct',' Not-in-family',' White',' Female',40_41,' Puerto-Rico',' <=50K'
28_37,' Private',' HS-grad',' Never-married',' Other-service',' Own-child',' Black',' Female',40_41,' ?',' <=50K'
17_28,' Private',' Some-college',' Never-married',' Other-service',' Not-in-family',' White',' Female',1_40,' United-States',' <=50K'
17_28,' Private',' Some-college',' Married-spouse-absent',' Sales',' Not-in-family',' White',' Male',41_51,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Never-married',' Adm-clerical',' Unmarried',' Other',' Female',40_41,' United-States',' <=50K'
17_28,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40_41,' United-States',' <=50K'
37_48,' Private',' 1st-4th',' Married-spouse-absent',' Machine-op-inspct',' Unmarried',' White',' Female',40_41,' Dominican-Republic',' <=50K'
